"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio"
713637783,"Existing Customer",44,"F",3,"Graduate","Married","Unknown","Blue",31,5,2,0,24936,2053,22883,0.716,1810,38,0.727,0.082
785387883,"Existing Customer",47,"F",3,"High School","Single","$40K - $60K","Blue",41,4,3,3,3788,1540,2248,0.566,1594,47,0.382,0.407
710125608,"Existing Customer",45,"F",5,"Unknown","Single","Less than $40K","Blue",36,4,2,0,2679,1558,1121,0.997,4756,73,0.553,0.582
817089408,"Existing Customer",44,"M",2,"College","Married","$60K - $80K","Blue",27,3,1,2,19114,1754,17360,0.865,4413,69,0.725,0.092
772095858,"Existing Customer",38,"F",2,"Graduate","Single","Unknown","Blue",27,4,2,3,13429,1246,12183,1.055,3929,66,0.737,0.093
715581633,"Existing Customer",53,"F",3,"Unknown","Married","$40K - $60K","Blue",45,4,3,1,1972,0,1972,0.761,5085,73,0.587,0
719787633,"Existing Customer",47,"M",0,"Graduate","Married","$80K - $120K","Silver",36,3,2,1,34516,1913,32603,0.84,7535,92,0.673,0.055
779051808,"Existing Customer",35,"F",1,"Graduate","Single","$40K - $60K","Blue",16,3,2,2,2546,1348,1198,0.877,4145,75,0.596,0.529
720148983,"Existing Customer",54,"F",1,"Uneducated","Married","Less than $40K","Blue",40,5,2,4,2178,1144,1034,1.585,1724,47,1.043,0.525
792695808,"Existing Customer",41,"M",4,"High School","Married","$120K +","Blue",35,5,4,2,18232,1140,17092,0.657,4775,84,1.1,0.063
714979383,"Existing Customer",56,"M",3,"Graduate","Single","$60K - $80K","Blue",46,1,2,2,1891,1134,757,0.636,5255,77,0.833,0.6
789599283,"Existing Customer",44,"F",3,"College","Divorced","Unknown","Blue",38,5,3,2,2002,1448,554,0.734,3406,62,0.632,0.723
718875483,"Existing Customer",50,"M",1,"College","Married","$60K - $80K","Blue",40,4,2,4,17404,1745,15659,0.54,4491,78,0.66,0.1
711999783,"Existing Customer",41,"M",3,"Uneducated","Married","$80K - $120K","Blue",31,4,2,2,4740,1348,3392,0.472,1406,23,0.533,0.284
714112383,"Existing Customer",53,"M",2,"Graduate","Married","$120K +","Blue",43,6,3,2,5882,2335,3547,0.579,1380,30,0.667,0.397
709822008,"Existing Customer",42,"F",3,"Unknown","Divorced","Unknown","Blue",31,5,3,2,2369,1019,1350,0.691,4317,66,0.784,0.43
717866133,"Existing Customer",47,"F",2,"Graduate","Single","Less than $40K","Blue",36,3,3,3,2677,1390,1287,0.732,2170,63,0.465,0.519
789483333,"Existing Customer",41,"M",2,"Uneducated","Married","$40K - $60K","Blue",32,5,1,3,5214,795,4419,0.707,1258,23,1.3,0.152
788950158,"Existing Customer",36,"M",2,"College","Unknown","$80K - $120K","Blue",22,2,2,3,34516,1652,32864,0.854,1283,39,1.294,0.048
715827858,"Existing Customer",58,"F",4,"Uneducated","Married","Less than $40K","Blue",47,3,3,3,2822,2173,649,1.456,1218,23,2.286,0.77
751283658,"Existing Customer",42,"F",4,"Unknown","Single","$40K - $60K","Blue",35,4,3,3,1786,1316,470,0.704,4306,73,1.086,0.737
788771733,"Existing Customer",49,"M",4,"High School","Single","$60K - $80K","Blue",30,5,3,3,1579,900,679,0.592,4354,70,0.707,0.57
715144383,"Existing Customer",40,"F",3,"High School","Single","Unknown","Blue",36,3,3,2,6384,2034,4350,0.493,4413,83,0.886,0.319
717442758,"Existing Customer",51,"F",4,"High School","Married","$40K - $60K","Blue",43,5,3,2,8346,1452,6894,1.194,4141,79,0.612,0.174
820848408,"Existing Customer",52,"F",4,"Uneducated","Divorced","Unknown","Blue",48,5,5,2,1438.3,771,667.3,0.652,5053,74,0.947,0.536
710369658,"Existing Customer",50,"M",3,"Unknown","Married","$60K - $80K","Blue",36,4,3,2,3276,2353,923,0.725,4488,92,0.736,0.718
714506583,"Existing Customer",48,"F",4,"Graduate","Unknown","Less than $40K","Blue",38,4,3,1,1438.3,0,1438.3,0.647,4601,78,0.625,0
721043058,"Existing Customer",58,"M",4,"Unknown","Married","$60K - $80K","Blue",44,5,1,3,12010,2149,9861,0.801,1700,35,1.5,0.179
