Province_State,Country_Region,Last_Update,Lat,Long,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,8/15/2020 4:30,32.3182,-86.9023,106309,1893,41523,62893,1,2168.162123,824984,12456,1.78065827,84000001,USA,16825.47161,11.71678785
Alaska,US,8/15/2020 4:30,61.3707,-152.4044,4073,27,1371,2675,2,556.7668428,295929,,0.662902038,84000002,USA,40452.60374,
American Samoa,US,8/15/2020 4:30,-14.271,-170.132,0,0,,0,60,0,1396,,,16,ASM,2508.941248,
Arizona,US,8/15/2020 4:30,33.7298,-111.4312,191721,4423,27029,160269,4,2633.994425,1067575,20515,2.30699819,84000004,USA,14667.07663,10.70044492
Arkansas,US,8/15/2020 4:30,34.9697,-92.3731,52392,587,45446,6359,5,1736.096844,588660,3566,1.120400061,84000005,USA,19506.23699,6.806382654
California,US,8/15/2020 4:30,36.1162,-119.6816,613101,11148,,601953,6,1551.674276,9556598,,1.818297475,84000006,USA,24186.43466,
Colorado,US,8/15/2020 4:30,39.0598,-105.3111,52519,1888,5644,44987,8,911.9883252,837290,6700,3.594889469,84000008,USA,14539.47533,12.75728784
Connecticut,US,8/15/2020 4:30,41.5978,-72.7554,50897,4453,8809,37635,9,1427.570908,937690,11015,8.749042183,84000009,USA,26300.54747,21.64174706
Delaware,US,8/15/2020 4:30,39.3185,-75.5071,16340,593,8613,7134,10,1678.024655,207475,,3.629130967,84000010,USA,21306.49726,
Diamond Princess,US,8/15/2020 4:30,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,8/15/2020 4:30,38.8974,-77.0268,13118,594,10416,2108,11,1858.734479,236305,,4.528129288,84000011,USA,33482.86714,
Florida,US,8/15/2020 4:30,27.7663,-81.6868,563285,9141,,554144,12,2622.645952,4160565,33568,1.622801956,84000012,USA,19371.5241,5.959327871
Georgia,US,8/15/2020 4:30,33.0406,-83.6431,231895,4573,,227322,13,2184.098722,1970053,21818,1.972013196,84000013,USA,18554.90734,9.408568533
Grand Princess,US,8/15/2020 4:30,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,8/15/2020 4:30,13.4443,144.7937,502,5,345,152,66,305.6707402,27096,,0.996015936,316,GUM,16498.9131,
Hawaii,US,8/15/2020 4:30,21.0943,-157.4983,4543,40,1716,2787,15,320.8623378,153617,267,0.880475457,84000015,USA,10849.63895,5.877173674
Idaho,US,8/15/2020 4:30,44.2405,-114.4788,27171,265,10089,16817,16,1520.42595,218221,1068,0.975304553,84000016,USA,12211.13949,3.930661367
